time	month	temperature	feelslike	wind	direction	gust	cloud	humidity	precipitation	pressure	weather	label
12:00	1	33.0	37.0	8.0	ENE	9.0	42.0	47.0	0.0	1011.0	Partly cloudy	Light rain shower
15:00	1	31.0	36.0	8.0	ESE	11.0	78.0	56.0	1.5	1010.0	Light rain shower	Partly cloudy
18:00	1	27.0	31.0	6.0	ESE	10.0	35.0	75.0	0.0	1012.0	Partly cloudy	Partly cloudy
21:00	1	26.0	28.0	8.0	NE	13.0	48.0	77.0	0.0	1013.0	Partly cloudy	Partly cloudy
0:00	1	24.0	26.0	9.0	NE	14.0	26.0	81.0	0.0	1013.0	Partly cloudy	Partly cloudy
3:00	1	23.0	26.0	8.0	NE	11.0	27.0	83.0	0.0	1013.0	Partly cloudy	Partly cloudy
6:00	1	23.0	26.0	8.0	NE	11.0	26.0	81.0	0.0	1014.0	Partly cloudy	Partly cloudy
9:00	1	28.0	31.0	6.0	NNE	7.0	33.0	65.0	0.0	1015.0	Partly cloudy	Partly cloudy
12:00	1	32.0	36.0	4.0	NNE	5.0	36.0	54.0	0.0	1013.0	Partly cloudy	Light rain shower
15:00	1	31.0	35.0	7.0	SE	11.0	44.0	57.0	2.2	1012.0	Light rain shower	Partly cloudy
18:00	1	27.0	31.0	5.0	SE	8.0	56.0	79.0	0.0	1014.0	Partly cloudy	Light rain shower
21:00	1	26.0	28.0	8.0	NE	12.0	61.0	79.0	0.3	1015.0	Light rain shower	Cloudy
0:00	1	24.0	26.0	11.0	ENE	18.0	82.0	82.0	0.0	1015.0	Cloudy	Partly cloudy
3:00	1	23.0	26.0	9.0	ENE	15.0	51.0	83.0	0.0	1014.0	Partly cloudy	Partly cloudy
6:00	1	23.0	26.0	7.0	NE	10.0	37.0	79.0	0.0	1015.0	Partly cloudy	Partly cloudy
9:00	1	26.0	29.0	10.0	ENE	11.0	30.0	66.0	0.0	1016.0	Partly cloudy	Partly cloudy
12:00	1	31.0	35.0	4.0	E	4.0	41.0	52.0	0.0	1013.0	Partly cloudy	Partly cloudy
15:00	1	31.0	35.0	5.0	S	6.0	43.0	51.0	0.0	1012.0	Partly cloudy	Partly cloudy
18:00	1	27.0	30.0	5.0	SSE	8.0	41.0	67.0	0.0	1013.0	Partly cloudy	Clear
21:00	1	25.0	27.0	11.0	NE	18.0	22.0	70.0	0.0	1014.0	Clear	Clear
0:00	1	23.0	26.0	10.0	NE	15.0	18.0	72.0	0.0	1014.0	Clear	Clear
3:00	1	22.0	25.0	9.0	NNE	13.0	17.0	73.0	0.0	1013.0	Clear	Sunny
6:00	1	23.0	25.0	8.0	NNE	11.0	14.0	75.0	0.0	1014.0	Sunny	Sunny
9:00	1	27.0	30.0	10.0	NNE	11.0	15.0	60.0	0.0	1015.0	Sunny	Sunny
12:00	1	31.0	34.0	9.0	NNE	10.0	16.0	48.0	0.0	1013.0	Sunny	Partly cloudy
15:00	1	31.0	34.0	6.0	NNE	7.0	36.0	47.0	0.0	1011.0	Partly cloudy	Partly cloudy
18:00	1	27.0	29.0	5.0	ESE	9.0	46.0	68.0	0.0	1013.0	Partly cloudy	Partly cloudy
21:00	1	25.0	28.0	6.0	NE	10.0	28.0	70.0	0.0	1014.0	Partly cloudy	Partly cloudy
0:00	1	24.0	26.0	9.0	NNE	14.0	62.0	70.0	0.0	1014.0	Partly cloudy	Overcast
3:00	1	24.0	26.0	8.0	NE	12.0	88.0	70.0	0.0	1013.0	Overcast	Partly cloudy
6:00	1	24.0	26.0	6.0	NNE	8.0	55.0	73.0	0.0	1014.0	Partly cloudy	Partly cloudy
9:00	1	29.0	32.0	4.0	NE	5.0	31.0	60.0	0.0	1015.0	Partly cloudy	Partly cloudy
12:00	1	32.0	36.0	3.0	SE	3.0	47.0	51.0	0.0	1013.0	Partly cloudy	Cloudy
15:00	1	32.0	35.0	5.0	ESE	7.0	75.0	51.0	0.1	1011.0	Cloudy	Partly cloudy
18:00	1	27.0	30.0	5.0	ENE	8.0	45.0	73.0	0.0	1013.0	Partly cloudy	Partly cloudy
21:00	1	26.0	29.0	5.0	E	9.0	40.0	76.0	0.0	1014.0	Partly cloudy	Partly cloudy
0:00	1	25.0	28.0	3.0	NE	4.0	38.0	79.0	0.0	1014.0	Partly cloudy	Partly cloudy
3:00	1	24.0	27.0	5.0	NNE	7.0	42.0	81.0	0.0	1014.0	Partly cloudy	Partly cloudy
6:00	1	25.0	28.0	6.0	NE	8.0	43.0	79.0	0.0	1015.0	Partly cloudy	Partly cloudy
9:00	1	29.0	34.0	5.0	NE	6.0	51.0	62.0	0.0	1015.0	Partly cloudy	Cloudy
12:00	1	32.0	37.0	7.0	NE	8.0	68.0	51.0	0.0	1013.0	Cloudy	Patchy rain possible
15:00	1	32.0	36.0	10.0	E	15.0	35.0	56.0	1.8	1012.0	Patchy rain possible	Partly cloudy
18:00	1	27.0	31.0	7.0	SE	12.0	59.0	76.0	0.0	1013.0	Partly cloudy	Partly cloudy
21:00	1	26.0	30.0	6.0	E	10.0	27.0	80.0	0.0	1014.0	Partly cloudy	Partly cloudy
0:00	1	25.0	28.0	7.0	ENE	12.0	39.0	80.0	0.0	1014.0	Partly cloudy	Partly cloudy
3:00	1	24.0	27.0	7.0	ENE	11.0	57.0	82.0	0.0	1013.0	Partly cloudy	Sunny
6:00	1	25.0	28.0	6.0	ENE	7.0	21.0	77.0	0.0	1014.0	Sunny	Sunny
9:00	1	28.0	32.0	8.0	NE	10.0	20.0	63.0	0.0	1014.0	Sunny	Cloudy
